Feature,LIME_Importance
B,0.09210844975369949
S,0.04341947187213244
Fe,0.032010076136365036
K,0.030535757129143092
P,0.028150593957107305
Mn,0.02295593048461656
N,0.014827326948530723
EC,0.009885329340951762
Zn,0.00535411398903514
Cu,0.0025420931936242937
pH,0.0008887291014553787
