Feature,Weight
EC > 0.78,0.41407891929498064
pH <= -0.60,0.30321820374024555
N <= -0.65,0.23869617476712607
-0.90 < P <= 0.05,-0.005271384643783972
K <= -0.91,0.00235044521988467
